id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,jenis_kelamin,pengeluaran_per_kapita,satuan,tahun
199,32,JAWA BARAT,3271,KOTA BOGOR,LAKI-LAKI,17389,RIBU RUPIAH,2021
200,32,JAWA BARAT,3271,KOTA BOGOR,PEREMPUAN,9637,RIBU RUPIAH,2021
201,32,JAWA BARAT,3272,KOTA SUKABUMI,LAKI-LAKI,15208,RIBU RUPIAH,2021
202,32,JAWA BARAT,3272,KOTA SUKABUMI,PEREMPUAN,10130,RIBU RUPIAH,2021
203,32,JAWA BARAT,3273,KOTA BANDUNG,LAKI-LAKI,22618,RIBU RUPIAH,2021
204,32,JAWA BARAT,3273,KOTA BANDUNG,PEREMPUAN,16110,RIBU RUPIAH,2021
205,32,JAWA BARAT,3274,KOTA CIREBON,LAKI-LAKI,15494,RIBU RUPIAH,2021
206,32,JAWA BARAT,3274,KOTA CIREBON,PEREMPUAN,11379,RIBU RUPIAH,2021
207,32,JAWA BARAT,3275,KOTA BEKASI,LAKI-LAKI,21880,RIBU RUPIAH,2021
208,32,JAWA BARAT,3275,KOTA BEKASI,PEREMPUAN,14580,RIBU RUPIAH,2021
209,32,JAWA BARAT,3276,KOTA DEPOK,LAKI-LAKI,22082,RIBU RUPIAH,2021
210,32,JAWA BARAT,3276,KOTA DEPOK,PEREMPUAN,14052,RIBU RUPIAH,2021
211,32,JAWA BARAT,3277,KOTA CIMAHI,LAKI-LAKI,16486,RIBU RUPIAH,2021
212,32,JAWA BARAT,3277,KOTA CIMAHI,PEREMPUAN,10316,RIBU RUPIAH,2021
213,32,JAWA BARAT,3278,KOTA TASIKMALAYA,LAKI-LAKI,13430,RIBU RUPIAH,2021
214,32,JAWA BARAT,3278,KOTA TASIKMALAYA,PEREMPUAN,7854,RIBU RUPIAH,2021
215,32,JAWA BARAT,3279,KOTA BANJAR,LAKI-LAKI,15578,RIBU RUPIAH,2021
216,32,JAWA BARAT,3279,KOTA BANJAR,PEREMPUAN,7295,RIBU RUPIAH,2021
217,32,JAWA BARAT,3201,KABUPATEN BOGOR,LAKI-LAKI,15407,RIBU RUPIAH,2022
218,32,JAWA BARAT,3201,KABUPATEN BOGOR,PEREMPUAN,8747,RIBU RUPIAH,2022
219,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,LAKI-LAKI,13527,RIBU RUPIAH,2022
220,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,PEREMPUAN,6967,RIBU RUPIAH,2022
221,32,JAWA BARAT,3203,KABUPATEN CIANJUR,LAKI-LAKI,11722,RIBU RUPIAH,2022
222,32,JAWA BARAT,3203,KABUPATEN CIANJUR,PEREMPUAN,5170,RIBU RUPIAH,2022
223,32,JAWA BARAT,3204,KABUPATEN BANDUNG,LAKI-LAKI,14223,RIBU RUPIAH,2022
